reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,game
0d410427-6a1a-4625-bf43-7f13cad251bc,Pema Pema gyelmo,https://play-lh.googleusercontent.com/a/ACg8ocLs2eHyHanpzk7LIaXl1mH96rdBfEzR9nhzAA2LSyEh46Js8A=mo,This Is the awesome-est game cause litterly its interesting and entertaining and boring safe,5,0,,2026-01-25 13:41:34,"Thank you so much for the 5-star love! 😊 Interesting, entertaining AND safe? That's exactly what we aim for! We're glad you're enjoying it — we'll keep your thoughts in mind. Happy blasting!",2026-01-25 14:31:02,,Block_Blust
2811ac2c-8423-4450-9f92-569421e0402c,Myo Zaw Htwe,https://play-lh.googleusercontent.com/a-/ALV-UjW7M1-hfrG_eVzV8s6Wli8wCtfD0QRCb12MSH-AYvelO9-Q50Xq,nice 👍,4,0,9.0.1,2026-01-25 13:30:13,"Awesome, thanks for the feedback! 😊 We're really happy to hear you're enjoying the puzzles!",2026-01-25 14:49:59,9.0.1,Block_Blust
bed4d427-b038-4432-972d-83233e5470b6,Courtney Newest,https://play-lh.googleusercontent.com/a-/ALV-UjXL6-Wja7LYryFXh_3jDpqclpIxKqIkXDugeK-rglYG0XLXtDVn,it is so much fun 😌😊,5,0,9.1.0,2026-01-25 13:26:49,Thanks so much for your kind words! We're thrilled to hear you're having a blast. Keep enjoying the game! 😊,2026-01-25 15:01:19,9.1.0,Block_Blust
efcee67b-e206-4890-95a1-d5a5c8cbe8a0,Madison,https://play-lh.googleusercontent.com/a/ACg8ocJuxdO4bKV_8f6ra_swpPZt3YS9_itAnojGTerrF8ry6AmCKw=mo,Great time playing and I'm always challenging my friends to see who gets the highest score!,5,0,9.0.6,2026-01-25 13:25:26,Thank you so much for the amazing review! 😊 It's awesome to hear you're challenging friends and competing for high scores! That friendly rivalry really adds to the fun. Keep enjoying the game and good luck with those competitions!,2026-01-25 15:01:28,9.0.6,Block_Blust
da1540f0-8e68-49df-b8b0-c80cd26e8500,Sana Fatima,https://play-lh.googleusercontent.com/a/ACg8ocLmg0NY5ACXgtjNj24ZeonMWhzMguo0WJPiyKAvR4twPmFj1g=mo,wow,5,0,,2026-01-25 13:20:01,Wow! That's awesome to hear! 😊 Thanks so much for the amazing rating — it really makes our day! We're thrilled you're enjoying the puzzle fun. Keep on blasting! 🧩,2026-01-25 15:01:24,,Block_Blust
f30473ef-9e4f-41e0-b881-ccebc321701d,steven batty,https://play-lh.googleusercontent.com/a-/ALV-UjW2GJZzxsYFXSIkjaOegxSy2rsNBfDBtwZjTsHpW4ZbIlIk4x-F,another game using misleading advertising.,1,0,9.1.0,2026-01-25 13:18:40,很抱歉让广告给你带来这样的感受。我们一直很重视小伙伴们的反馈，关于广告展示的问题，我们会认真考虑大家的意见，努力带来更好的体验。感谢你的直言不讳！😊,2026-01-25 15:01:29,9.1.0,Block_Blust
bc6aef89-e6b1-4901-bd58-b8dc55f91165,Rakesh Jha,https://play-lh.googleusercontent.com/a/ACg8ocLJa_bxPcdPl23Ur80GV7ptoXB8EvyHVYJGkCfN9_Wm13WI4Q=mo,nice game,5,0,9.1.0,2026-01-25 13:09:13,Thanks for the nice feedback and the 5 stars! We're thrilled you're enjoying it – that really means a lot to us. 😊,2026-01-25 13:50:20,9.1.0,Block_Blust
50cda7aa-17c1-479f-a919-afc15f560c8f,Haji Amin Homes,https://play-lh.googleusercontent.com/a-/ALV-UjWqDaCgNGx12Jj5TK1o5GsJ_Bqps4MuvVhD8Big0Wk69DBtoCs,good,5,0,8.9.6,2026-01-25 13:05:25,Thank you for the kind words and the 5 stars! 😊 We're so glad you're enjoying it. Keep on having fun and happy blasting! 🧩,2026-01-25 14:01:17,8.9.6,Block_Blust
85a64a34-6ed0-4be2-8d5f-d48582093f5c,Sonia Sonia,https://play-lh.googleusercontent.com/a/ACg8ocJJpJby0b_jrS2mA5uNP5baZYvyBQq95dirrV7eZbosyvfmzA=mo,so good game 😁 i rly like it so much ♥️,5,0,9.0.8,2026-01-25 13:01:19,Thanks a bunch! 😊 We're thrilled you're having so much fun with it! Your love means a lot—keep on enjoying! ♥️,2026-01-25 14:01:24,9.0.8,Block_Blust
404eeac1-236d-4236-8e1d-02d72a437208,joyce chavez,https://play-lh.googleusercontent.com/a-/ALV-UjVjJ9SHCdsuBVe1s3pUG-GzPkjLq-bOz8010r8wK_jY0KFHAl48Fg,Relaxing,5,0,9.1.0,2026-01-25 13:00:55,Thanks! It's awesome to know you find it relaxing. That's exactly what we aim for—a chill experience to unwind. Keep enjoying the puzzles! 🧩,2026-01-25 14:01:16,9.1.0,Block_Blust
